Method,Size,Time
# Size 20
"bubble sort",20,0.01
"heap sort",20,0.008
"insertion sort",20,0.003
"selection sort",20,0.006
# Size 50
"bubble sort",50,0.042
"heap sort",50,0.021
"insertion sort",50,0.012
"selection sort",50,0.021
# Size 100
"bubble sort",100,0.174
"heap sort",100,0.045
"insertion sort",100,0.037
"selection sort",100,0.071
# Size 200
"bubble sort",200,0.651
"heap sort",200,0.104
"insertion sort",200,0.129
"selection sort",200,0.249
# Size 500
"bubble sort",500,3.865
"heap sort",500,0.303
"insertion sort",500,0.764
"selection sort",500,1.431
# Size 1000
"bubble sort",1000,13.876
"heap sort",1000,0.594
"insertion sort",1000,2.515
"selection sort",1000,4.383
# Size 2000
"bubble sort",2000,41.351
"heap sort",2000,0.841
"insertion sort",2000,6.81
"selection sort",2000,11.605
# Size 5000
"bubble sort",5000,153.002
"heap sort",5000,1.178
"insertion sort",5000,20.204
"selection sort",5000,33.762
#Size 10000
"bubble sort",10000,389.279
"heap sort",10000,1.864
"insertion sort",10000,61.896
"selection sort",10000,111.098
# Size 15000
"bubble sort",15000,889.312
"heap sort",15000,2.929
"insertion sort",15000,138.225
"selection sort",15000,249.092
# Size 20000
"bubble sort",20000,1617.529
"heap sort",20000,4.293
"insertion sort",20000,249.441
"selection sort",20000,442.703
